tripduration,day,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
803,1/1/16,1/1/16 6:47,1/1/16 7:00,387,Centre St & Chambers St,40.71273266,-74.0046073,238,Bank St & Washington St,40.7361967,-74.00859207,20296,Subscriber,1957,2
143,1/1/16,1/1/16 7:20,1/1/16 7:22,3112,Milton St & Franklin St,40.72906,-73.95779,3105,N 15 St & Wythe Ave,40.724055,-73.955736,24036,Subscriber,1977,1
659,1/1/16,1/1/16 8:41,1/1/16 8:52,331,Pike St & Monroe St,40.71173107,-73.99193043,317,E 6 St & Avenue B,40.72453734,-73.98185424,21999,Subscriber,1969,2
1403,1/1/16,1/1/16 8:44,1/1/16 9:07,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,251,Mott St & Prince St,40.72317958,-73.99480012,23230,Subscriber,1976,1
380,1/1/16,1/1/16 8:49,1/1/16 8:55,527,E 33 St & 2 Ave,40.744023,-73.976056,228,E 48 St & 3 Ave,40.7546011,-73.97187886,22977,Subscriber,1986,1
635,1/1/16,1/1/16 9:12,1/1/16 9:22,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,448,W 37 St & 10 Ave,40.75660359,-73.9979009,23765,Subscriber,1954,1
838,1/1/16,1/1/16 9:20,1/1/16 9:34,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,23324,Subscriber,1959,2
1924,1/1/16,1/1/16 9:34,1/1/16 10:06,487,E 20 St & FDR Drive,40.73314259,-73.97573881,279,Peck Slip & Front St,40.707873,-74.00167,24084,Customer,,0
714,1/1/16,1/1/16 9:43,1/1/16 9:55,458,11 Ave & W 27 St,40.751396,-74.005226,335,Washington Pl & Broadway,40.72903917,-73.99404649,22487,Subscriber,1967,1
570,1/1/16,1/1/16 10:02,1/1/16 10:12,341,Stanton St & Mangin St,40.71782143,-73.97628939,295,Pike St & E Broadway,40.71406667,-73.99293911,22462,Subscriber,1964,1
374,1/1/16,1/1/16 10:11,1/1/16 10:18,363,West Thames St,40.70834698,-74.01713445,146,Hudson St & Reade St,40.71625008,-74.0091059,20241,Subscriber,1979,2
399,1/1/16,1/1/16 10:15,1/1/16 10:22,3139,E 72 St & Park Ave,40.77118288,-73.96409422,3163,Central Park West & W 68 St,40.7734066,-73.97782542,22060,Subscriber,1964,1
211,1/1/16,1/1/16 10:28,1/1/16 10:31,504,1 Ave & E 15 St,40.73221853,-73.98165557,507,E 25 St & 2 Ave,40.73912601,-73.97973776,20215,Subscriber,1990,1
416,1/1/16,1/1/16 10:28,1/1/16 10:35,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,19601,Subscriber,1991,2
153,1/1/16,1/1/16 10:30,1/1/16 10:33,3124,46 Ave & 5 St,40.74731,-73.95451,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,22277,Subscriber,1978,1
781,1/1/16,1/1/16 10:37,1/1/16 10:50,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,228,E 48 St & 3 Ave,40.7546011,-73.97187886,17597,Subscriber,1983,1
305,1/1/16,1/1/16 10:40,1/1/16 10:45,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,3165,Central Park West & W 72 St,40.77579377,-73.97620574,23480,Subscriber,1965,1
405,1/1/16,1/1/16 10:42,1/1/16 10:49,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,428,E 3 St & 1 Ave,40.72467721,-73.98783413,23414,Subscriber,1970,1
974,1/1/16,1/1/16 10:56,1/1/16 11:12,302,Avenue D & E 3 St,40.72082834,-73.97793172,519,Pershing Square North,40.751873,-73.977706,23931,Subscriber,1987,1
814,1/1/16,1/1/16 10:56,1/1/16 11:09,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,22401,Subscriber,1992,1
445,1/1/16,1/1/16 11:10,1/1/16 11:17,3089,Leonard St & Meeker Ave,40.7173184,-73.94820213,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,22700,Subscriber,1981,2
377,1/1/16,1/1/16 11:11,1/1/16 11:17,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,250,Lafayette St & Jersey St,40.72456089,-73.99565293,15470,Subscriber,1985,1
539,1/1/16,1/1/16 11:14,1/1/16 11:23,248,Laight St & Hudson St,40.72185379,-74.00771779,229,Great Jones St,40.72743423,-73.99379025,16213,Subscriber,1976,1
